"Immune_cells" "Inflammation" "Neutrophils" "Proliferation" "Th1" "Th17" "Patient" "Perturbation" "Apoptosis"
"315" 1 1 1 1 1 1 "GSM2211711" "IL1R1_OFF" 0
"316" 1 1 1 1 1 1 "GSM2211711" "IFNGR_OFF" 0
"317" 1 1 1 1 1 1 "GSM2211711" "IFNAR_OFF" 0
"318" 1 1 1 0 1 0 "GSM2211711" "TNFRSF1A_OFF" 0
"319" 1 1 1 1 1 1 "GSM2211711" "IL6R_OFF" 0
"320" 1 1 1 1 1 1 "GSM2211711" "IL36R_OFF" 0
"321" 1 1 1 0.003 1 0.003 "GSM1315670" "IL17R_OFF" 0
"322" 1 1 1 0.993 1 0.958 "GSM1315670" "IL22R_OFF" 0
"323" 1 1 1 0.996 1 0.977 "GSM1315670" "IL1R1_OFF" 0
"324" 1 1 1 0.996 1 0.973 "GSM1315670" "IFNGR_OFF" 0
"325" 1 1 1 0.995 1 0.976 "GSM1315670" "IFNAR_OFF" 0
